Year,Month,MFR,MODEL,DelayedFlights
2007,12,BOEING,747,70
2007,12,BOEING,757,3500
2007,12,BOEING,767,935
2007,12,BOEING,777,153
2008,1,AIRBUS,A300B4,19
2008,1,AIRBUS,A319,2502
2008,1,AIRBUS,A320,4112
2008,1,AIRBUS,A321,352
2008,1,AIRBUS,A330,35
2008,1,AIRBUS,A340,11
2008,1,BOEING,717,788
2008,1,BOEING,737,12818
2008,1,BOEING,747,50
2008,1,BOEING,757,2437
2008,1,BOEING,767,703
2008,1,BOEING,777,123
2008,2,AIRBUS,A300B4,8
2008,2,AIRBUS,A319,2255
2008,2,AIRBUS,A320,3859
2008,2,AIRBUS,A321,355
2008,2,AIRBUS,A330,31
2008,2,AIRBUS,A340,11
2008,2,BOEING,717,1172
2008,2,BOEING,737,13292
2008,2,BOEING,747,59
2008,2,BOEING,757,2344
2008,2,BOEING,767,577
2008,2,BOEING,777,103
2008,3,AIRBUS,A300B4,21
2008,3,AIRBUS,A319,2387
2008,3,AIRBUS,A320,4014
2008,3,AIRBUS,A321,374
2008,3,AIRBUS,A330,34
2008,3,AIRBUS,A340,14
2008,3,BOEING,717,1109
2008,3,BOEING,737,15199
2008,3,BOEING,747,61
2008,3,BOEING,757,2859
2008,3,BOEING,767,804
2008,3,BOEING,777,129
2008,4,AIRBUS,A300B4,20
2008,4,AIRBUS,A319,1927
2008,4,AIRBUS,A320,3189
2008,4,AIRBUS,A321,339
2008,4,AIRBUS,A330,22
2008,4,AIRBUS,A340,12
2008,4,BOEING,717,763
2008,4,BOEING,737,9777
2008,4,BOEING,747,49
2008,4,BOEING,757,2245
2008,4,BOEING,767,716
2008,4,BOEING,777,79
2008,5,AIRBUS,A300B4,16
2008,5,AIRBUS,A319,1851
2008,5,AIRBUS,A320,2814
2008,5,AIRBUS,A321,255
2008,5,AIRBUS,A330,6
2008,5,AIRBUS,A340,9
2008,5,BOEING,717,724
2008,5,BOEING,737,10446
2008,5,BOEING,747,58
2008,5,BOEING,757,1953
2008,5,BOEING,767,625
2008,5,BOEING,777,81
2008,6,AIRBUS,A300B4,17
2008,6,AIRBUS,A319,2635
2008,6,AIRBUS,A320,4483
2008,6,AIRBUS,A321,434
2008,6,AIRBUS,A330,7
2008,6,AIRBUS,A340,16
2008,6,BOEING,717,943
2008,6,BOEING,737,13486
2008,6,BOEING,747,57
2008,6,BOEING,757,2634
2008,6,BOEING,767,798
2008,6,BOEING,777,123
2008,7,AIRBUS,A300B4,14
2008,7,AIRBUS,A319,2155
2008,7,AIRBUS,A320,4240
2008,7,AIRBUS,A321,375
2008,7,AIRBUS,A330,6
2008,7,AIRBUS,A340,11
2008,7,BOEING,717,1302
2008,7,BOEING,737,10268
2008,7,BOEING,747,50
2008,7,BOEING,757,2635
2008,7,BOEING,767,741
2008,7,BOEING,777,106
2008,8,AIRBUS,A300B4,10
2008,8,AIRBUS,A319,1869
2008,8,AIRBUS,A320,4032
2008,8,AIRBUS,A321,341
2008,8,AIRBUS,A330,8
2008,8,AIRBUS,A340,8
2008,8,BOEING,717,895
2008,8,BOEING,737,9591
2008,8,BOEING,747,49
2008,8,BOEING,757,2120
2008,8,BOEING,767,622
2008,8,BOEING,777,80
2008,9,AIRBUS,A300B4,2
2008,9,AIRBUS,A319,1169
2008,9,AIRBUS,A320,2065
2008,9,AIRBUS,A321,234
2008,9,AIRBUS,A330,5
2008,9,AIRBUS,A340,10
2008,9,BOEING,717,439
2008,9,BOEING,737,5302
2008,9,BOEING,747,35
2008,9,BOEING,757,1245
2008,9,BOEING,767,378
2008,9,BOEING,777,62
2008,10,AIRBUS,A319,1092
2008,10,AIRBUS,A320,1865
2008,10,AIRBUS,A321,314
2008,10,AIRBUS,A330,11
2008,10,AIRBUS,A340,3
2008,10,BOEING,707,9
2008,10,BOEING,717,739
2008,10,BOEING,737,7138
2008,10,BOEING,747,17
2008,10,BOEING,757,1723
2008,10,BOEING,767,452
2008,10,BOEING,777,69
2008,11,AIRBUS,A319,1270
2008,11,AIRBUS,A320,2126
2008,11,AIRBUS,A321,283
2008,11,AIRBUS,A330,13
2008,11,AIRBUS,A340,2
2008,11,BOEING,707,6
2008,11,BOEING,717,743
2008,11,BOEING,737,6754
2008,11,BOEING,747,28
2008,11,BOEING,757,1723
2008,11,BOEING,767,504
2008,11,BOEING,777,50
2008,12,AIRBUS,A319,3005
2008,12,AIRBUS,A320,5560
2008,12,AIRBUS,A321,603
2008,12,AIRBUS,A330,24
2008,12,AIRBUS,A340,9
2008,12,BOEING,707,13
2008,12,BOEING,717,1613
2008,12,BOEING,737,20148
2008,12,BOEING,747,50
2008,12,BOEING,757,3515
2008,12,BOEING,767,864
2008,12,BOEING,777,99
